reg_id,clause,article
REG-006,Art9(2),Article 9
REG-011,Art9(2(d)),Article 9
REG-013,Art9(4),Article 9
REG-018,Art9(6),Article 9
REG-019,Art9(6),Article 9
REG-021,Art9(8),Article 9
REG-022,Art9(8),Article 9
REG-023,Art9(9),Article 9
REG-028,Art10(2(a)),Article 10
REG-032,Art10(2(e)),Article 10
REG-065,Art13(1),Article 13
REG-120,,
REG-154,,
REG-001,Art8(1),Article 8
REG-060,Art12(3(a)),Article 12
REG-079,Art13(8(e)),Article 13
REG-083,Art14(2),Article 14
REG-084,Art14(3),Article 14
REG-097,Art15(1),Article 15
REG-104,,
REG-109,,
REG-156,,
REG-025,Art10(1),Article 10
REG-049,Art10(6),Article 10
REG-050,Art11(1),Article 11
REG-066,Art13(2),Article 13
REG-069,Art13(3(b)),Article 13
REG-075,Art13(7),Article 13
REG-070,Art13(3(i)),Article 13
REG-071,Art13(4),Article 13
REG-085,Art14(3),Article 14
REG-098,Art15(2),Article 15
REG-099,Art15(3),Article 15
REG-102,Art15(4),Article 15
REG-026,Art10(2),Article 10
REG-035,Art10(2(h)),Article 10
REG-067,Art13(3),Article 13
REG-127,,
REG-076,Art13(8),Article 13
REG-110,,
REG-115,,
REG-150,,
REG-027,Art10(2),Article 10
REG-029,Art10(2(b)),Article 10
REG-030,Art10(2(c)),Article 10
REG-031,Art10(2(d)),Article 10
REG-037,Art10(3),Article 10
REG-038,Art10(3),Article 10
REG-039,Art10(3),Article 10
REG-040,Art10(4),Article 10
REG-090,Art14(4),Article 14
REG-091,Art14(4(a)),Article 14
REG-092,Art14(4(b)),Article 14
REG-093,Art14(4(c)),Article 14
REG-094,Art14(4(d)),Article 14
REG-095,Art14(4(e)),Article 14
REG-105,,
REG-081,Art14(1),Article 14
REG-082,Art14(2),Article 14
REG-086,Art14(3(a)),Article 14
REG-088,Art14(3(b)),Article 14
REG-119,,
REG-141,,
