reg_id,clause,article
REG-064,Art79(1),Article 79
REG-003,Art9(1),Article 9
REG-051,Art26(9),Article 26
REG-011,Art9(9),Article 9
REG-010,Art9(8),Article 9
REG-091,Art49(6),Article 49
REG-038,Art15(1),Article 15
REG-044,Art26(2),Article 26
REG-006,Art9(4),Article 9
REG-028,Art13(4),Article 13
REG-035,Art14(3),Article 14
REG-001,Art8(1),Article 8
REG-043,Art26(1),Article 26
REG-034,Art14(2),Article 14
REG-012,Art9(10),Article 9
REG-030,Art13(6),Article 13
REG-029,Art13(5),Article 13
REG-008,Art9(6),Article 9
REG-026,Art13(2),Article 13
REG-040,Art15(3),Article 15
REG-031,Art13(7),Article 13
REG-013,Art10(1),Article 10
REG-019,Art11(1),Article 11
REG-018,Art10(6),Article 10
REG-046,Art26(4),Article 26
REG-039,Art15(2),Article 15
REG-009,Art9(7),Article 9
REG-056,Art60(2),Article 60
REG-027,Art13(3),Article 13
REG-032,Art13(8),Article 13
REG-068,Art79(5),Article 79
REG-069,Art79(6),Article 79
REG-014,Art10(2),Article 10
REG-016,Art10(4),Article 10
REG-015,Art10(3),Article 10
REG-101,Art89(4),Article 89
REG-036,Art14(4),Article 14
REG-033,Art14(1),Article 14
REG-025,Art13(1),Article 13
REG-045,Art26(3),Article 26
REG-054,Art26(12),Article 26
