reg_id,clause,article
REG-064,Art79(1),Article 79
REG-051,Art26(9),Article 26
REG-011,Art9(9),Article 9
REG-010,Art9(8),Article 9
REG-018,Art10(6),Article 10
REG-091,Art49(6),Article 49
REG-044,Art26(2),Article 26
REG-025,Art13(1),Article 13
REG-049,Art26(7),Article 26
REG-006,Art9(4),Article 9
REG-004,Art9(2),Article 9
REG-035,Art14(3),Article 14
REG-001,Art8(1),Article 8
REG-034,Art14(2),Article 14
REG-008,Art9(6),Article 9
REG-030,Art13(6),Article 13
REG-043,Art26(1),Article 26
REG-050,Art26(8),Article 26
REG-033,Art14(1),Article 14
REG-038,Art15(1),Article 15
REG-031,Art13(7),Article 13
REG-013,Art10(1),Article 10
REG-046,Art26(4),Article 26
REG-015,Art10(3),Article 10
REG-039,Art15(2),Article 15
REG-040,Art15(3),Article 15
REG-028,Art13(4),Article 13
REG-056,Art60(2),Article 60
REG-027,Art13(3),Article 13
REG-032,Art13(8),Article 13
REG-021,Art11(3),Article 11
REG-069,Art79(6),Article 79
REG-062,Art60(8),Article 60
REG-073,Art79(10),Article 79
REG-026,Art13(2),Article 13
REG-014,Art10(2),Article 10
REG-016,Art10(4),Article 10
REG-009,Art9(7),Article 9
REG-101,Art89(4),Article 89
REG-036,Art14(4),Article 14
REG-045,Art26(3),Article 26
