reg_id,clause,article
REG-001,Art6(1),Article 6
REG-010,Art9(3),Article 9
REG-013,Art13(2),Article 13
REG-016,Art14(1),Article 14
REG-017,Art14(2),Article 14
REG-018,Art14(3),Article 14
REG-021,Art15(1),Article 15
REG-025,Art17(1),Article 17
REG-026,Art17(2),Article 17
REG-028,Art18(1),Article 18
REG-029,Art18(2),Article 18
REG-031,Art20(1),Article 20
REG-032,Art20(2),Article 20
REG-035,Art21(1),Article 21
REG-040,Art21(6),Article 21
REG-092,Art77(1),Article 77
REG-093,Art77(2),Article 77
REG-095,Art78(2),Article 78
REG-004,Art6(4),Article 6
REG-020,Art14(5),Article 14
REG-023,Art15(3),Article 15
REG-086,Art49(1),Article 49
REG-090,Art49(5),Article 49
REG-022,Art15(2),Article 15
REG-052,Art40(3),Article 40
REG-062,Art42(2),Article 42
REG-069,Art45(1),Article 45
REG-070,Art45(2),Article 45
REG-075,Art45(7),Article 45
REG-078,Art46(1),Article 46
REG-080,Art46(3),Article 46
REG-084,Art47(2),Article 47
REG-087,Art49(2),Article 49
REG-012,Art13(1),Article 13
REG-027,Art17(3),Article 17
REG-036,Art21(2),Article 21
REG-067,Art42(7),Article 42
REG-019,Art14(4),Article 14
REG-037,Art21(3),Article 21
