reg_id,clause,considered_references,policy_id,deviation_index,deviation_found,article,gdpr_requirement,policy_realization,deviation_type,gdpr_quote,policy_quote,mismatch,analysis
REG-001,Art6(1),[],,,False,,,,,,,,
REG-010,Art9(3),"[""Art9(1)"", ""Art9(2)""]",,,False,,,,,,,,
REG-013,Art13(2),"[""Art13(1)"", ""Art9(2)"", ""Art22(1)""]",,,False,,,,,,,,
REG-016,Art14(1),"[""Art46(1)"", ""Art46(2)"", ""Art46(3)"", ""Art46(4)"", ""Art46(5)"", ""Art47(1)"", ""Art47(2)"", ""Art47(3)"", ""Art49(1)""]",,,False,,,,,,,,
REG-017,Art14(2),"[""Art9(2)"", ""Art22(1)""]",,,False,,,,,,,,
REG-018,Art14(3),[],,,False,,,,,,,,
REG-021,Art15(1),"[""Art22(1)""]",,1,True,,,,Severity deviation,,,,"Art15(1) grants a right of access to personal data and specific accompanying information (with cross-reference to automated decision-making per Art22(1) via REG-041). The policy adds a limitation that the 'right to information does not exist or is subject to limitations if ... confidential information, such as information subject to professional secrecy, would be disclosed.' This imposes an additional constraint at the level of Art15(1) beyond what is stated in that clause and its cited Art22(1) reference. While GDPR contains limits elsewhere, this clause’s scope—as analysed together with REG-041—does not itself condition the existence of the right on professional secrecy; the policy’s added condition therefore represents a stricter constraint."
REG-025,Art17(1),"[""Art21(2)"", ""Art8(1)"", ""Art9(2)""]",,1,True,,,,Data deviation,,,,"Art17(1) lists multiple independent grounds for erasure, including (among others) objection under Art21(2) (REG-036) and data collected in relation to Art8(1) information society services to a child (REG-005), and consent withdrawal per Art9(2)(a) context (REG-009) when applicable. The policy frames erasure as available only if data are no longer needed or if consent-based processing is withdrawn. By presenting only these two grounds without indicating that other GDPR grounds also trigger erasure, the policy narrows the scope of the right to erasure compared to Art17(1) read with its cross-references."
REG-026,Art17(2),[],,,False,,,,,,,,
REG-028,Art18(1),[],,,False,,,,,,,,
REG-029,Art18(2),[],,,False,,,,,,,,
REG-031,Art20(1),"[""Art9(2)""]",,,False,,,,,,,,
REG-032,Art20(2),[],,,False,,,,,,,,
REG-035,Art21(1),[],,1,True,,,,Data deviation,,,,"Art21(1) gives a right to object to processing based on Art6(1)(e) or (f), including profiling based on those provisions. The policy limits the objection right to processing based on Art6(1)(f) only, omitting Art6(1)(e), thereby narrowing the scope of the right relative to Art21(1)."
REG-035,Art21(1),[],,2,True,,,,Severity deviation,,,,"Art21(1) requires that the objection be 'on grounds relating to [the data subject’s] particular situation'. The policy states the data subject 'may object to the processing at any time' (for Art6(1)(f) processing) without the 'particular situation' qualifier, effectively broadening the right beyond the condition in Art21(1)."
REG-040,Art21(6),"[""Art89(1)""]",,,False,,,,,,,,
REG-092,Art77(1),[],,,False,,,,,,,,
