reg_id,clause,considered_references,policy_id,deviation_index,deviation_found,article,gdpr_requirement,policy_realization,deviation_type,analysis
REG-033,Art14(1),"[""Art20(4)"", ""Art21(1)"", ""Art21(2)"", ""Art21(3)"", ""Art22(4)"", ""Art23(1)""]",,,False,,,,,
REG-034,Art14(2),"[""Art20(3)"", ""Art21(1)"", ""Art21(2)"", ""Art21(3)""]",,,False,,,,,
REG-044,Art26(2),"[""Art22(3)"", ""Art23(1)""]",,,False,,,,,
REG-036,Art14(4),"[""Art20(3)"", ""Art20(4)"", ""Art21(1)"", ""Art21(3)""]",,,False,,,,,
REG-045,Art26(3),"[""Art22(3)"", ""Art22(4)""]",,,False,,,,,
REG-091,Unknown,[],,,False,,,,,
REG-039,Art15(2),"[""Art21(4)"", ""Art21(6)"", ""Art22(1)"", ""Art22(2)""]",,,False,,,,,
REG-035,Art14(3),"[""Art20(3)"", ""Art20(4)"", ""Art21(2)"", ""Art21(3)""]",,,False,,,,,
REG-032,Art13(8),"[""Art15(2)"", ""Art15(3)"", ""Art15(4)"", ""Art20(3)"", ""Art20(4)"", ""Art21(1)"", ""Art21(2)""]",,,False,,,,,
REG-031,Art13(7),[],,,False,,,,,
REG-006,Art9(4),"[""Art6(4)""]",,,False,,,,,
REG-056,Art60(2),[],,,False,,,,,
REG-008,Art9(6),"[""Art9(3)""]",,,False,,,,,
REG-010,Art9(8),[],,,False,,,,,
REG-040,Art15(3),"[""Art21(4)""]",,,False,,,,,
REG-028,Art13(4),"[""Art21(4)"", ""Art21(6)"", ""Art22(1)"", ""Art22(2)""]",,,False,,,,,
REG-014,Art10(2),[],,,False,,,,,
