reg_id,clause,considered_references,policy_id,deviation_index,deviation_found,article,gdpr_requirement,policy_realization,deviation_type,gdpr_quote,policy_quote,mismatch,analysis
REG-021,Art15(1),"[""Art22(1)""]",,1,True,,,,Data deviation,The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed...,Right of access: You can request information from us at any time about whether and which personal data we store about you.,"Policy limits the access right to personal data the controller “stores,” whereas GDPR Art 15(1) covers all personal data “being processed.”","Replacing “being processed” with “we store” narrows the scope from any processing state to data at rest, altering the GDPR’s broader scope."
REG-021,Art15(1),"[""Art22(1)""]",,2,True,,,,Negation deviation,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access...","The right to information does not exist or is subject to limitations if and to the extent that confidential information, such as information that is subject to professional secrecy, would be disclosed.","Policy frames the access right as non-existent or limited when professional secrecy could be disclosed, whereas Art 15(1) itself grants an unqualified access right (limitations lie outside 15(1)).","By stating the right “does not exist,” the policy negates/narrows the Art 15(1) entitlement within the access clause itself."
REG-031,Art20(1),"[""Art6(1)"", ""Art9(2)""]",,,False,,,,,,,,
REG-035,Art21(1),"[""Art6(1)""]",,1,True,,,,Data deviation,"The data subject shall have the right to object... to processing of personal data... which is based on point (e) or (f) of Article 6(1), including profiling based on those provisions.","Right to object to processing: If the processing of your data is based on Art 6 para 1 lit f) GDPR, you may object to the processing at any time.","Policy restricts the right to object to processing based only on Art 6(1)(f), omitting processing based on Art 6(1)(e) that GDPR also covers.",Art 21(1) covers both public task/official authority (e) and legitimate interests (f); the policy narrows this to (f) only.
REG-020,Art14(5),"[""Art89(1)""]",,,False,,,,,,,,
REG-010,Art9(3),"[""Art9(2)""]",,,False,,,,,,,,
REG-018,Art14(3),[],,,False,,,,,,,,
REG-092,Art77(1),[],,,False,,,,,,,,
REG-028,Art18(1),"[""Art21(1)""]",,,False,,,,,,,,
REG-025,Art17(1),"[""Art6(1)"", ""Art9(2)"", ""Art21(1)"", ""Art21(2)"", ""Art8(1)""]",,1,True,,,,Data deviation,"The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay... where one of the following grounds applies: (a) the personal data are no longer necessary...; (b) the data subject withdraws consent... and where there is no other legal ground...; (c) the data subject objects to the processing pursuant to Article 21(1) and there are no overriding legitimate grounds..., or the data subject objects... pursuant to Article 21(2); (d) the personal data have been unlawfully processed; (e) the personal data have to be erased for compliance with a legal obligation...; (f) the personal data have been collected in relation to the offer of information society services referred to in Article 8(1).","Right to erasure: You have the right to request that we erase your personal data if and to the extent that the data is no longer needed for the purposes for which it was collected or, if the processing is based on your consent, you have withdrawn your consent.",Policy limits erasure to two grounds (no longer needed; consent withdrawn) and omits the other GDPR grounds.,"By enumerating only two qualifying grounds, the policy narrows the GDPR’s broader set of six grounds for erasure."
REG-027,Art17(3),"[""Art9(2)"", ""Art9(3)"", ""Art89(1)""]",,1,True,,,,Severity deviation,"Paragraphs 1 and 2 shall not apply to the extent that processing is necessary: (a) for exercising the right of freedom of expression and information; (b) for compliance with a legal obligation... or for the performance of a task carried out in the public interest or in the exercise of official authority...; (c) for reasons of public interest in the area of public health in accordance with points (h) and (i) of Article 9(2) as well as Article 9(3); (d) for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1)...; or (e) for the establishment, exercise or defence of legal claims.","A right to erasure does not exist insofar as • the data may not be deleted due to a legal obligation or must be processed due to a legal obligation; • the data processing is necessary for the assertion, exercise or defence of legal claims.","Policy lists only two exceptions and omits other GDPR exceptions (freedom of expression, public health, archiving/research), thus committing to a stricter standard than GDPR requires.","By not including all statutory exceptions, the policy over-commits to offering erasure in scenarios where GDPR would permit refusal."
REG-029,Art18(2),[],,,False,,,,,,,,
REG-032,Art20(2),[],,1,True,,,,Severity deviation,"the data subject shall have the right to have the personal data transmitted directly from one controller to another, where technically feasible.",as well as the right to have this data transferred to another controller.,"Policy promises direct transfer without the GDPR qualifier “where technically feasible,” over-committing beyond GDPR’s condition.",Omitting the feasibility condition strengthens the right compared to the GDPR’s bounded obligation.
REG-013,Art13(2),"[""Art22(1)"", ""Art6(1)"", ""Art9(2)""]",,,False,,,,,,,,
REG-036,Art21(2),[],,,False,,,,,,,,
REG-017,Art14(2),"[""Art6(1)"", ""Art9(2)"", ""Art22(1)""]",,,False,,,,,,,,
