chunk,rea_id,rea_text,reg_id,reg_article,reg_text,deviation,confidence,needs_more_context,types,compliance_status,reasoning_short,evidence_rea,evidence_reg
chunk1_deontic_stages,REA-01#1,You have the following rights under applicable data protection law with respect to personal data concerning you.,REG-062,Art15(1(b)),"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information: (b) the categories of personal data concerned;",False,low,True,none,needs manual review,The REA is a broad introductory statement about rights and does not directly conflict with the REG's specific access-to-information right; no quote-supported mismatch is present.,You have the following rights under applicable data protection law with respect to personal data concerning you.,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information: (b) the categories of personal data concerned;"
chunk1_deontic_stages,REA-01#1,You have the following rights under applicable data protection law with respect to personal data concerning you.,REG-063,Art15(1(c)),"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information: (c) the recipients or categories of recipient to whom the personal data have been",False,low,True,none,needs manual review,"The REA announces rights in general terms and does not express a conflicting rule about recipients or categories of recipients, so there is no clear deviation supported by the quoted text.",You have the following rights under applicable data protection law with respect to personal data concerning you.,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information: (c) the recipients or categories of recipient to whom the personal data have been"
chunk1_deontic_stages,REA-01#1,You have the following rights under applicable data protection law with respect to personal data concerning you.,REG-067,Art15(1(f)),"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information: (f) the right to lodge a complaint with a supervisory authority;",False,low,True,none,needs manual review,"The REA generally states that the user has rights under applicable data protection law, while the REG specifies one such right; this is too general to show a meaning-changing mismatch, and omission alone is not a deviation.",You have the following rights under applicable data protection law with respect to personal data concerning you.,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information: (f) the right to lodge a complaint with a supervisory authority;"
chunk1_deontic_stages,REA-01#2,You can request information from us at any time about whether and which personal data we store about you.,REG-060,Art15(1),"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:",False,low,True,none,needs manual review,"The REA provides that 'You can request information from us at any time about whether and which personal data we store about you.' The REG grants a right to obtain confirmation whether personal data 'are being processed' and, if so, access and further information. The wording differs ('store' vs 'being processed'), but the text does not clearly create a direct conflict rather than partial or narrower coverage, which cannot alone be treated as deviation.",,
chunk1_deontic_stages,REA-01#2,You can request information from us at any time about whether and which personal data we store about you.,REG-062,Art15(1(b)),"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information: (b) the categories of personal data concerned;",False,low,True,none,needs manual review,"The REA says users can request information about 'whether and which personal data we store about you,' while the REG grants confirmation of whether data are being processed and information on 'the categories of personal data concerned.' This is not a clear quote-supported conflict on the same constraint; the REA appears narrower or differently framed, but omission or partial coverage alone is not enough.",,
chunk1_deontic_stages,REA-01#2,You can request information from us at any time about whether and which personal data we store about you.,REG-065,Art15(1(d)),"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information: (d) where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period;",False,low,True,none,needs manual review,"The REA mentions requesting information 'at any time' about whether and which data are stored, whereas the REG concerns 'the envisaged period for which the personal data will be stored' or criteria used to determine that period. These do not clearly express the same constraint, so no quote-supported mismatch is established.",,
chunk1_deontic_stages,REA-01#3,The provision of information is free of charge for you.,REG-034,Art14(1),"Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the following information:",False,low,True,none,needs manual review,"The REA states that provision is free of charge, while the REG requires provision of information in a specific condition; the REA does not clearly conflict with that requirement, and omission of the condition is not enough to show deviation.",The provision of information is free of charge for you.,the controller shall provide the data subject with the following information:
chunk1_deontic_stages,REA-01#3,The provision of information is free of charge for you.,REG-057,Art14(5(b)),"In such cases the controller shall take appropriate measures to protect the data subject's rights and freedoms and legitimate interests, including making the information publicly available;",False,low,True,none,needs manual review,The REA addresses cost ('free of charge') while the REG addresses protective measures including making information publicly available; these are not clearly the same constraint or directly conflicting.,The provision of information is free of charge for you.,"the controller shall take appropriate measures to protect the data subject's rights and freedoms and legitimate interests, including making the information publicly available;"
chunk1_deontic_stages,REA-01#3,The provision of information is free of charge for you.,REG-073,Art15(3),"Where the Data Subject makes the request by electronic means, and unless otherwise requested, The Controller SHALL provide the information in a commonly used electronic form.",False,low,True,none,needs manual review,"The REA concerns absence of charge, whereas the REG concerns the form of provision when requested electronically; no quote-supported conflict is shown.",The provision of information is free of charge for you.,The Controller SHALL provide the information in a commonly used electronic form.
chunk1_deontic_stages,REA-01#4,"The right to information does not exist or is subject to limitations if and to the extent that confidential information, such as information that is subject to professional secrecy, would be disclosed.",REG-052,Art14(3(c)),"The controller shall provide the information referred to in paragraphs 1 and 2: (c) if a disclosure to another recipient is envisaged, at the latest when the personal data are first disclosed.",False,low,True,none,needs manual review,"The REA concerns an exception based on confidentiality/professional secrecy, while this REG sets timing for providing information upon envisaged disclosure to another recipient; no direct conflict is clearly supported by the quoted text.","The right to information does not exist or is subject to limitations if and to the extent that confidential information, such as information that is subject to professional secrecy, would be disclosed.","The controller shall provide the information referred to in paragraphs 1 and 2: (c) if a disclosure to another recipient is envisaged, at the latest when the personal data are first disclosed."
