chunk,rea_id,rea_text,reg_id,reg_article,reg_text,deviation,confidence,needs_more_context,types,compliance_status,reasoning_short,evidence_rea,evidence_reg
chunk1_deontic_stages,REA-01#1,"Upon your request and expression of consent, we collect the following data for the purpose of providing services to you.",REG-043,Art12(1),"the information When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.",False,low,True,none,needs manual review,"REA addresses collection of data upon request and consent, whereas REG-043 concerns oral provision of information when requested by the data subject; no quote-supported mismatch on the same constraint is present.",,
chunk1_deontic_stages,REA-01#1,"Upon your request and expression of consent, we collect the following data for the purpose of providing services to you.",REG-059,Art13(1),The Controller SHALL provide the data subject with all of the following information at the time when personal data are obtained.,False,low,True,none,needs manual review,"REA concerns collecting data upon request and consent, while REG-059 requires providing information when personal data are obtained; these do not clearly express the same or directly conflicting constraint.",,
chunk1_deontic_stages,REA-01#1,"Upon your request and expression of consent, we collect the following data for the purpose of providing services to you.",REG-145,Art23(2(b)),"In particular, any legislative measure referred to in paragraph 1 shall contain provisions at least, where relevant, as to: (b) the categories of personal data;",False,low,True,none,needs manual review,"REA states that data are collected upon request and consent for providing services, while REG-145 concerns legislative measures containing provisions on categories of personal data; they are not the same or directly conflicting obligation.",,
chunk1_deontic_stages,REA-01#2,Your data is not used for any other purposes or shared with third parties.,REG-002,Art6(1(a)),Processing shall be lawful only if and to the extent that at least one of the following applies: (a) the data subject has given consent to the processing of his or her personal data for one or more specific purposes;,False,low,True,none,needs manual review,"The REA prohibits use for 'any other purposes' and sharing with third parties, while the REG states when processing is lawful based on consent for 'one or more specific purposes'; these do not clearly express the same or directly conflicting constraint without more context.",,
chunk1_deontic_stages,REA-01#2,Your data is not used for any other purposes or shared with third parties.,REG-007,Art6(1(f)),"Processing shall be lawful only if and to the extent that at least one of the following applies: (f) processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child. Point (f) of the first subparagraph shall not apply to processing carried out by public authorities in the performance of their tasks.",False,low,True,none,needs manual review,"The REA broadly prohibits sharing with third parties and use for other purposes, but the REG provides one lawful-basis condition for processing based on legitimate interests; they are not clearly the same constraint or directly conflicting on the quoted text alone.",,
chunk1_deontic_stages,REA-01#2,Your data is not used for any other purposes or shared with third parties.,REG-014,Art6(4(b)),"The Controller SHALL take into account, inter alia: (b) the context in which the personal data have been collected, in particular regarding the relationship between data subjects and the controller, where the processing for a purpose other than that for which the personal data have been collected is not based on the data subject's consent or on a union or member state law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to in article 23(1).",False,low,True,none,needs manual review,"The REA says data is 'not used for any other purposes,' whereas the REG requires the controller to 'take into account' contextual factors where processing for another purpose is not based on consent or law; this is not a direct conflict because the REG addresses an assessment obligation, not a clear permission to reuse data.",,
chunk1_deontic_stages,REA-01#3,It is removed upon your withdrawal of consent or your request to terminate these services.,REG-095,Art17(1(b)),"And the Controller SHALL have the obligation to erase personal data without undue delay where one of the following grounds applies: (b) The Data Subject withdraws consent on which the processing is based according to point (a) of Article 6(1), or point (a) of Article 9(2), and where there is no other legal ground for the processing;",True,medium,False,Data deviation,potential violation,"The REA ties removal to withdrawal of consent but omits the REG's limiting condition that erasure is required only where the withdrawn consent is the basis for processing and there is no other legal ground, changing the scope of when removal occurs.",It is removed upon your withdrawal of consent,erase personal data without undue delay | The Data Subject withdraws consent on which the processing is based | and where there is no other legal ground for the processing
chunk1_deontic_stages,REA-01#3,It is removed upon your withdrawal of consent or your request to terminate these services.,REG-097,Art17(1(c)),"and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies: (c) the data subject objects to the processing pursuant to Article 21(1) and there are no overriding legitimate grounds for the processing, or the data subject objects to the processing pursuant to Article 21(2);",False,low,True,none,needs manual review,"The REA does not clearly address objection to processing under Article 21, so there is no quote-supported mismatch with the REG's erasure obligation triggered by such objection.",,
chunk1_deontic_stages,REA-01#3,It is removed upon your withdrawal of consent or your request to terminate these services.,REG-121,Art21(3),"Where the data subject objects to processing for direct marketing purposes, the personal data shall no longer be processed for such purposes.",False,low,True,none,needs manual review,"The REA mentions removal upon withdrawal of consent or termination request, while the REG concerns objection to processing for direct marketing purposes; no clear same-or-conflicting constraint is stated.",,
chunk2_deontic_stages,REA-02#1,"Name, email address, content of the comment: this data is collected when you leave a comment and displayed on the Website. If you leave a comment on the Website, your name and email address will also be saved in cookies.",REG-059,Art13(1),The Controller SHALL provide the data subject with all of the following information at the time when personal data are obtained.,False,low,True,none,needs manual review,"The REA provides a statement about what data is collected and displayed, whereas the REG imposes a duty to provide information; without a directly matching or conflicting informational requirement, deviation is not clearly supported.","Name, email address, content of the comment: this data is collected when you leave a comment and displayed on the Website.",The Controller SHALL provide the data subject with all of the following information at the time when personal data are obtained.
